strain,sphericity,area,oblate,prolate,volume
V8,0.29921,23928.60,0.71392,0.00873,56966.20
V8,0.39562,2259.32,0.69769,0.02989,2512.85
V8,0.35696,5389.04,0.92842,0.00746,7933.65
V8,0.53764,2502.11,0.80023,0.04545,4639.57
V8,0.57763,3305.70,0.58302,0.24923,7846.00
V8,0.53759,2298.40,0.60516,0.07312,4084.04
V8,0.42195,4867.60,0.88254,0.01612,8752.62
V8,0.42511,4755.13,0.86756,0.01575,8546.29
V8,0.45165,3181.52,0.80182,0.02345,5121.93
V9,0.50959,3113.32,0.45563,0.10002,5942.07
V9,0.46146,2498.28,0.31435,0.11316,3680.71
V9,0.46108,5859.24,0.57788,0.04025,13203.90
V9,0.34548,8942.02,0.92690,0.00880,16145.90
V9,0.39020,5510.20,0.60596,0.02970,9374.52
V9,0.62563,1693.16,0.50186,0.13224,3241.90
V9,0.41284,4310.32,0.45136,0.03666,7058.38
V9,0.50274,3463.98,0.23531,0.16502,6833.63
V9,0.34515,12986.00,0.56989,0.01635,28216.10
V9,0.33664,8059.53,0.34181,0.02550,13289.00
V9,0.57365,2335.87,0.40507,0.12175,4612.27
V9,0.56593,1663.19,0.14484,0.23318,2715.37
V9,0.40482,4454.81,0.45002,0.03405,7201.33
V9,0.60302,1902.81,0.33814,0.16359,3654.85
V9,0.56077,1764.58,0.61977,0.06313,2926.91
V9,0.34986,6962.73,0.91474,0.00933,11305.20
V9,0.55892,2603.73,0.78694,0.05294,5220.25
V10,0.34970,9338.94,0.90693,0.01394,17549.70
V10,0.50850,2828.33,0.59334,0.04523,5128.66
V10,0.40527,6569.10,0.58598,0.02795,12916.80
V10,0.59127,2256.81,0.29595,0.20487,4583.53
V10,0.53321,2003.49,0.72801,0.05513,3283.20
V10,0.27115,9764.40,0.81195,0.00805,12810.10
V10,0.51393,2710.45,0.64625,0.05901,4888.66
V10,0.62053,1303.68,0.57275,0.12694,2163.60
V10,0.55456,3035.27,0.36158,0.10405,6493.75
V11,0.37144,4024.29,0.21742,0.04025,5434.30
V11,0.46417,2006.08,0.24306,0.11806,2671.83
V11,0.30942,6621.22,0.25360,0.02222,8719.71
V11,0.62312,2074.28,0.48978,0.15059,4369.57
V11,0.42270,1858.91,0.89603,0.01503,2071.11
V11,0.42587,2492.94,0.17879,0.10493,3252.82
V11,0.50073,2420.98,0.08538,0.18216,3968.87
V11,0.53939,1983.96,0.07109,0.29827,3291.74
V11,0.35299,5235.87,0.65508,0.01209,7471.26
V11,0.27325,8844.48,0.73387,0.00831,11172.00
V11,0.37936,3571.40,0.63533,0.02249,4689.26
V11,0.34941,9070.48,0.13802,0.03685,16777.10
V11,0.39520,4949.96,0.28956,0.04094,8135.94
V11,0.42286,4895.11,0.43645,0.04807,8855.36
V11,0.48125,2363.29,0.11291,0.21381,3606.66
V11,0.59462,1502.69,0.32131,0.30560,2511.55
V11,0.59071,3457.99,0.23265,0.22741,8681.01
V12,0.66871,1213.30,0.65880,0.15299,2173.10
V12,0.51029,2140.86,0.53740,0.06998,3395.32
V12,0.54156,2873.25,0.33065,0.12577,5771.67
V12,0.42478,3504.50,0.89049,0.01869,5400.81
V12,0.40018,2052.62,0.28928,0.09038,2213.68
V12,0.43010,4376.19,0.07982,0.13382,7678.50
V12,0.39557,1575.52,0.63060,0.01757,1463.01
V12,0.55675,2461.39,0.49117,0.07479,4770.21
V12,0.42685,2742.17,0.25448,0.10976,3765.59
V12,0.32647,6367.94,0.72304,0.01168,8913.47
V12,0.34626,5080.33,0.33626,0.03035,6937.86
V13,0.37791,4377.70,0.92953,0.01167,6327.35
V13,0.39695,6853.37,0.78092,0.02366,13342.20
V13,0.45468,3428.42,0.47297,0.05542,5787.18
V13,0.38503,4469.06,0.56645,0.03306,6711.90
V13,0.45433,3422.14,0.45491,0.06973,5764.68
V13,0.61515,2122.56,0.40477,0.34171,4436.41
V13,0.57591,1901.09,0.59871,0.09625,3406.49
V13,0.51506,4076.01,0.55190,0.11692,9045.21
V13,0.33041,11243.00,0.85004,0.00925,21290.10
V13,0.33876,5803.99,0.53902,0.03239,8198.01
V13,0.41821,5340.72,0.37271,0.10323,9925.81
V13,0.77943,1150.27,0.45325,0.35626,2524.30
V13,0.49807,2278.07,0.41259,0.11269,3593.83
